date,year,dayofyr,SOTF.tempC_mean,SOTF.tempC_median,SOTF.tempC_min,SOTF.tempC_max,SOTF.tempC_sd
2009-05-29,2009,149,13.304166666666667,13.32,13.01,13.62,0.191195703668909
2009-06-04,2009,155,15.517916666666666,15.5,15.02,16.130000000000003,0.32810363111922963
2009-06-11,2009,162,16.130000000000003,16.130000000000003,15.97,16.45,0.14920076931844967
2009-06-17,2009,168,17.610833333333332,17.005,16.45,19.5,1.082267814909233
2009-06-25,2009,176,19.116666666666667,18.775,18.53,20.630000000000003,0.7094312888667856
2009-07-02,2009,183,18.577916666666667,18.53,18.21,18.86,0.18153881287402443
2009-07-09,2009,190,19.4675,19.18,19.02,20.47,0.49878330225529344
2009-07-16,2009,197,20.367083333333333,20.39,19.979999999999997,21.130000000000003,0.39897127679840083
2009-07-23,2009,204,20.910416666666666,20.79,20.79,21.130000000000003,0.1459743624502398
2009-07-30,2009,211,22.11875,22.21,21.459999999999997,22.630000000000003,0.3207642029794524
2009-08-06,2009,218,22.76625,22.79,22.29,23.3,0.352454899982593
2009-08-13,2009,225,22.931666666666665,22.959999999999997,22.79,23.130000000000003,0.10829374973600356
2009-08-20,2009,232,24.963333333333335,25.03,24.51,25.37,0.2486776622661248
2009-08-27,2009,239,23.115833333333335,23.130000000000003,22.79,23.64,0.24516040297814437
2009-09-01,2009,244,20.734583333333333,20.630000000000003,20.47,21.459999999999997,0.31000672035726295
2009-09-08,2009,251,20.617916666666666,20.630000000000003,20.310000000000002,20.959999999999997,0.18462604193969648
2009-09-15,2009,258,19.4,19.34,19.18,19.66,0.12314713716243823
2009-09-21,NA,NA,NA,NA,NA,NA,NA
2009-09-28,NA,NA,NA,NA,NA,NA,NA
2009-10-05,NA,NA,NA,NA,NA,NA,NA
2010-05-25,NA,NA,NA,NA,NA,NA,NA
2010-06-04,2010,155,19.92083333333333,19.979999999999997,19.66,20.47,0.2119252671122053
2010-06-10,2010,161,17.29,17.24,16.93,17.56,0.1678508654832568
2010-06-15,2010,166,17.4,17.4,17.08,17.88,0.30938930028434236
2010-06-24,2010,175,21.466666666666665,21.545,20.959999999999997,21.959999999999997,0.4323913954284704
2010-07-01,2010,182,21.042916666666667,21.045,20.630000000000003,21.29,0.2132864814947393
2010-07-08,2010,189,25.005833333333335,25.115000000000002,23.47,25.89,0.5460682921669643
2010-07-15,2010,196,24.76666666666667,24.685000000000002,24.330000000000002,25.37,0.4095349076448912
2010-07-22,2010,203,24.587083333333332,24.595,24.330000000000002,25.03,0.200097349496094
2010-07-29,2010,210,24.1575,24.16,23.810000000000002,24.51,0.2060656290560393
2010-08-05,2010,217,24.042083333333334,23.979999999999997,23.64,24.68,0.2844518629203198
2010-08-12,2010,224,24.41166666666667,24.330000000000002,24.16,24.68,0.17051499147828741
2010-08-19,2010,231,23.53625,23.47,22.959999999999997,24.330000000000002,0.5659452462377716
2010-08-26,2010,238,21.006666666666668,20.79,20.79,21.630000000000003,0.27707582805570347
2010-09-02,2010,245,23.471666666666668,23.47,22.79,24.16,0.48330084848355864
2010-09-09,2010,252,20.625,20.630000000000003,20.310000000000002,20.959999999999997,0.2056379257864137
2010-09-16,2010,259,18.367916666666666,18.37,17.88,19.02,0.3403065008088354
2010-09-23,NA,NA,NA,NA,NA,NA,NA
2010-09-30,NA,NA,NA,NA,NA,NA,NA
2010-10-07,NA,NA,NA,NA,NA,NA,NA
2011-05-26,NA,NA,NA,NA,NA,NA,NA
2011-06-02,NA,NA,NA,NA,NA,NA,NA
2011-06-10,2011,161,20.032500000000002,20.150000000000002,19.35,20.64,0.48269397993021335
2011-06-16,2011,167,18.342083333333335,18.37,17.09,19.830000000000002,0.8361244923255551
2011-06-23,2011,174,18.805,18.86,18.05,19.51,0.5233670255931883
2011-06-30,2011,181,20.09,20.150000000000002,19.67,20.47,0.19345823052153097
2011-07-07,2011,188,22.96541666666667,22.97,22.630000000000003,23.130000000000003,0.1899880812432528
2011-07-14,2011,195,23.65375,23.650000000000002,23.3,23.99,0.20763288044883021
2011-07-21,2011,202,25.380416666666665,25.38,24.86,25.9,0.3023168387875423
2011-07-28,2011,209,24.34541666666667,24.34,23.650000000000002,25.03,0.3994994603758302
2011-08-04,2011,216,24.2075,24.25,23.650000000000002,24.68,0.3062430123426422
2011-08-11,2011,223,23.06625,22.97,22.630000000000003,23.650000000000002,0.3375591735565393
2011-08-18,2011,230,22.905,22.97,21.97,23.47,0.48319588250477197
2011-08-25,2011,237,21.777083333333334,21.8,21.459999999999997,22.130000000000003,0.21746522294014284
2011-09-01,2011,244,21.60375,21.630000000000003,20.97,22.130000000000003,0.3317648787659858
2011-09-08,2011,251,20.19,20.150000000000002,19.99,20.310000000000002,0.12703987734086863
2011-09-15,2011,258,20.070416666666667,20.230000000000004,19.35,20.64,0.4481505877217629
2011-09-22,NA,NA,NA,NA,NA,NA,NA
2011-09-29,NA,NA,NA,NA,NA,NA,NA
2011-10-06,NA,NA,NA,NA,NA,NA,NA
2012-05-24,NA,NA,NA,NA,NA,NA,NA
2012-05-31,2012,152,18.186666666666667,18.21,17.72,18.37,0.1626590637329903
2012-06-07,2012,159,16.621666666666666,16.53,16.130000000000003,17.08,0.3171841690586859
2012-06-14,2012,166,18.18625,18.21,17.72,19.02,0.3467339852419138
2012-06-21,2012,173,21.362916666666667,21.295,20.630000000000003,22.630000000000003,0.5657505915896672
2012-06-28,2012,180,20.52916666666667,20.55,20.14,20.79,0.21159675896808272
2012-07-05,2012,187,22.917499999999997,22.959999999999997,22.79,23.130000000000003,0.10334618900863606
2012-07-12,2012,194,24.122083333333332,23.979999999999997,23.64,25.03,0.4171432781344481
2012-07-19,2012,201,24.602083333333333,24.68,24.330000000000002,24.86,0.21409017130469793
2012-07-26,2012,208,23.045,23.045,22.959999999999997,23.130000000000003,0.08682816613739504
2012-08-02,2012,215,23.815416666666668,23.725,23.130000000000003,24.86,0.493346858901935
2012-08-09,2012,222,24.885416666666668,24.86,24.51,25.55,0.26350446191530674
2012-08-16,2012,229,24.427500000000002,24.51,24.16,24.68,0.18510279165442325
2012-08-23,2012,236,23.877916666666668,23.725,23.47,24.51,0.3631981034075496
2012-08-30,2012,243,22.70375,22.630000000000003,22.29,23.47,0.36381806848550335
2012-09-06,2012,250,21.848333333333333,21.795,21.29,22.79,0.5108872645715982
2012-09-13,2012,257,20.821666666666665,20.630000000000003,19.979999999999997,22.130000000000003,0.7963048720655693
2012-09-20,2012,264,18.693333333333335,18.53,18.37,19.18,0.30283682888237995
2012-09-27,NA,NA,NA,NA,NA,NA,NA
2012-10-05,NA,NA,NA,NA,NA,NA,NA
2013-05-23,NA,NA,NA,NA,NA,NA,NA
2013-05-30,2013,150,13.122083333333332,13.18,12.56,13.639999999999999,0.3990312090514993
2013-06-06,2013,157,17.443333333333335,17.43,17.110000000000003,17.91,0.309089359059896
2013-06-13,2013,164,15.296666666666667,15.370000000000001,15.05,15.53,0.19441476654121526
2013-06-20,2013,171,17.638333333333332,17.59,16.95,19.2,0.7469920357334977
2013-06-27,2013,178,21.7825,21.82,20.66,22.32,0.30104528043064344
2013-07-03,2013,184,21.523333333333333,21.479999999999997,19.52,23.150000000000002,1.0783105411653946
2013-07-11,2013,192,23.055416666666666,23.150000000000002,22.32,23.66,0.3662142300878549
2013-07-18,2013,199,26.450833333333332,26.354999999999997,26.09,27.330000000000002,0.3737927426967438
2013-07-25,2013,206,23.634166666666665,23.66,23.32,24.18,0.29014114506214267
2013-08-01,2013,213,23.5625,23.575,23.150000000000002,24.01,0.2902809733314619
2013-08-08,2013,220,22.281666666666666,22.235,21.82,22.82,0.3516503533547114
2013-08-15,2013,227,21.0775,21.07,20.66,21.479999999999997,0.2949023419784039
2013-08-22,2013,234,22.991666666666667,22.979999999999997,22.479999999999997,23.66,0.36895465335442545
2013-08-29,2013,241,22.65041666666667,22.650000000000002,22.150000000000002,23.32,0.27409105384361127
2013-09-05,2013,248,21.720416666666665,21.82,21.32,21.979999999999997,0.18324322555048184
2013-09-11,2013,254,20.3475,20.25,19.52,21.479999999999997,0.6895319773774724
2013-09-18,2013,261,NA,NA,NA,NA,NA
2013-09-25,NA,NA,NA,NA,NA,NA,NA
2013-10-02,NA,NA,NA,NA,NA,NA,NA
2014-05-29,NA,NA,NA,NA,NA,NA,NA
2014-06-05,2014,156,NA,NA,NA,NA,NA
2014-06-12,2014,163,17.85,17.91,17.27,18.39,0.31584255846723797
2014-06-19,2014,170,19.046666666666667,19.04,18.72,19.52,0.28103329010088407
2014-06-26,2014,177,19.689166666666665,19.68,19.52,19.85,0.11409060726749955
2014-07-02,2014,183,22.62,22.479999999999997,21.150000000000002,24.36,0.9694507633751676
2014-07-09,2014,190,22.323333333333334,22.479999999999997,21.82,22.650000000000002,0.30780663985078716
2014-07-17,2014,198,22.99791666666667,23.064999999999998,22.650000000000002,23.32,0.24072317073255778
2014-07-23,2014,204,24.543333333333333,24.445,24.01,25.39,0.3990495955519125
2014-07-30,2014,211,22.697916666666664,22.650000000000002,22.32,23.150000000000002,0.23810810783023081
2014-08-06,2014,218,23.49,23.49,23.32,23.66,0.14178980155881077
2014-08-12,2014,224,23.39125,23.32,22.979999999999997,24.01,0.2928616307791257
2014-08-20,2014,232,21.335,21.32,20.66,22.150000000000002,0.6529997669618072
2014-08-27,2014,239,22.469583333333333,22.479999999999997,21.979999999999997,22.979999999999997,0.273916508489701
2014-09-04,2014,247,22.402916666666666,22.235,21.650000000000002,23.830000000000002,0.6788640074268998
2014-09-10,2014,253,21.255416666666665,21.32,20.99,21.479999999999997,0.1733801845823125
2014-09-17,2014,260,NA,NA,NA,NA,NA
2014-09-25,NA,NA,NA,NA,NA,NA,NA
2014-10-03,NA,NA,NA,NA,NA,NA,NA
2014-10-10,NA,NA,NA,NA,NA,NA,NA
2015-05-21,NA,NA,NA,NA,NA,NA,NA
2015-05-28,NA,NA,NA,NA,NA,NA,NA
2015-06-05,NA,NA,NA,NA,NA,NA,NA
2015-06-11,2015,162,17.616666666666667,17.59,17.110000000000003,18.39,0.3966234296250486
2015-06-19,2015,170,19.315,19.2,18.72,20.01,0.35148133724962294
2015-06-25,2015,176,20.6025,20.575,20.330000000000002,20.99,0.22055759377974907
2015-07-02,2015,183,19.86625,19.85,19.36,20.49,0.3515532305541275
2015-07-09,2015,190,21.42791666666667,21.4,21.150000000000002,21.979999999999997,0.2854588855900588
2015-07-16,2015,197,21.913333333333334,21.979999999999997,21.479999999999997,22.32,0.20196139679924327
2015-07-23,2015,204,23.207083333333333,23.150000000000002,22.82,23.49,0.19109476744518017
2015-07-30,2015,211,25.24375,25.305,24.7,25.74,0.3608421610862446
2015-08-06,2015,218,23.560833333333335,23.49,23.32,23.830000000000002,0.18016699178133744
2015-08-13,2015,225,23.090416666666666,22.979999999999997,22.650000000000002,23.66,0.360211039189005
2015-08-20,2015,232,24.69625,24.88,23.830000000000002,25.39,0.44209788902262365
2015-08-25,2015,237,23.82625,23.830000000000002,23.32,24.01,0.173501346943776
2015-09-03,2015,246,23.868750000000002,23.830000000000002,23.66,24.18,0.15433764510206896
2015-09-10,2015,253,24.11625,24.01,23.66,24.7,0.29835509191157616
2015-09-17,2015,260,21.997083333333332,21.9,21.479999999999997,22.82,0.43760692275211965
2015-09-24,NA,NA,NA,NA,NA,NA,NA
2015-10-02,NA,NA,NA,NA,NA,NA,NA
2016-05-26,NA,NA,NA,NA,NA,NA,NA
2016-06-03,2016,155,16.647916666666667,16.869999999999997,14.89,17.59,0.7569387957950827
2016-06-09,2016,161,17.903333333333332,17.91,17.27,18.23,0.2561702332547582
2016-06-16,2016,168,16.837500000000002,17.110000000000003,16.32,17.27,0.37766156922510136
2016-06-23,2016,175,19.407916666666665,19.52,18.88,19.85,0.3093609003521082
2016-06-30,2016,182,21.278333333333332,21.4,20.66,21.82,0.4059306715991385
2016-07-07,2016,189,23.38375,23.32,23.150000000000002,23.66,0.1308438332350894
2016-07-14,2016,196,22.441666666666666,22.32,21.479999999999997,23.830000000000002,0.5105552532945549
2016-07-21,2016,203,22.902916666666666,22.900000000000002,22.32,23.830000000000002,0.5364900352951721
2016-07-27,2016,209,24.05875,24.095,23.49,24.53,0.3615583722191193
2016-08-04,2016,217,24.10333333333333,24.095,23.32,25.05,0.5285391406399399
2016-08-10,2016,223,24.0075,24.01,23.830000000000002,24.18,0.1264309400767686
2016-08-15,2016,228,24.255833333333335,24.27,24.01,24.53,0.1701129207235633
2016-08-22,2016,235,23.265,23.32,22.650000000000002,23.66,0.3087281060711195
2016-08-31,2016,244,22.949583333333333,22.9,22.650000000000002,23.32,0.2653542204654757
2016-09-07,2016,251,22.407083333333333,22.32,22.150000000000002,22.979999999999997,0.23991808686674043
2016-09-14,2016,258,21.740833333333335,21.82,21.32,22.32,0.2606166044072287
2016-09-21,2016,265,21.283333333333335,21.150000000000002,20.99,22.150000000000002,0.2760382246162213
2016-09-28,NA,NA,NA,NA,NA,NA,NA
2016-10-05,NA,NA,NA,NA,NA,NA,NA
