date,par_mean,par_median,par_min,par_max,par_sd,par_sum
2009-05-29,NA,NA,NA,NA,NA,NA
2009-06-04,NA,NA,NA,NA,NA,NA
2009-06-11,NA,NA,NA,NA,NA,NA
2009-06-17,NA,NA,NA,NA,NA,NA
2009-06-25,NA,NA,NA,NA,NA,NA
2009-07-02,NA,NA,NA,NA,NA,NA
2009-07-09,NA,NA,NA,NA,NA,NA
2009-07-16,NA,NA,NA,NA,NA,NA
2009-07-23,NA,NA,NA,NA,NA,NA
2009-07-30,350.38479861111114,102,0.5770000000000002,2068,486.865506118068,50455.411
2009-08-06,436.77281944444445,185.64999999999998,0.082,1755,558.3277671089718,62895.286
2009-08-13,174.54643055555556,107.95,0.5770000000000002,1244,235.25249221353735,25134.686
2009-08-20,391.28260416666666,95.19999999999999,0.5770000000000002,1618,504.50958677083764,56344.695
2009-08-27,425.97500694444443,108.25,1.812,1478,526.3739808688033,61340.401
2009-09-01,402.4871111111111,93.9,1.2349999999999997,1465,503.0460687490934,57958.144
2009-09-08,383.771,44.305,0.5770000000000002,1572,502.1757598501514,55263.024
2009-09-15,259.45177777777775,28.005000000000003,0.494,1534,368.08633996133585,37361.056
2009-09-21,384.33109722222224,15.605,0.24700000000000005,1375,501.8481732974252,55343.678
2009-09-28,248.67344444444444,1.6059999999999999,0.24700000000000005,1432,407.8376400509724,35808.976
2009-10-05,168.19372222222222,1.7295,0.082,1152,254.46622562825254,24219.896
2010-05-25,509.95014583333335,232.8,0.8240000000000002,1615,585.1755754222086,73432.821
2010-06-04,437.354875,204.2,0.165,1821,547.4210841181741,62979.102
2010-06-10,88.57673611111112,52.05,0.082,440.6,101.06612213350576,12755.05
2010-06-15,520.236875,281.5,0.082,1481,550.7000836337652,74914.11
2010-06-24,273.2499861111111,101.15,0.082,1942,397.9720772345786,39347.998
2010-07-01,294.09095833333333,164.9,0.082,2053,406.9801616065394,42349.098
2010-07-08,364.80875,117.1,0.082,1527,441.3494731120212,52532.46
2010-07-15,378.71098611111114,127.85,0.165,1622,481.5507459304737,54534.382
2010-07-22,334.60730555555557,111.4,0.329,1792,429.4365154481901,48183.452
2010-07-29,402.77433333333335,166.5,1.2349999999999997,1640,500.721109642855,57999.504
2010-08-05,165.08461111111112,55.49,0.741,1288,238.8907021331134,23772.184
2010-08-12,277.40289583333333,67.51,1.647,1530,377.33404805329957,39946.017
2010-08-19,394.4986736111111,81.8,0.906,1434,509.1283027757878,56807.809
2010-08-26,284.6999375,66.525,2.0589999999999997,1529,402.954809158133,40996.791
2010-09-02,399.5167777777778,63.235,0.5760000000000002,1375,502.99673803338925,57530.416
2010-09-09,107.47440277777778,20.340000000000003,0.988,672.9,147.41685421201575,15476.314
2010-09-16,278.69572916666664,6.4635,0.082,1453,421.9087861196305,40132.185
2010-09-23,252.27240277777778,7.203000000000001,1.564,1128,362.75811963689245,36327.226
2010-09-30,37.96196527777778,0.535,0.329,297.6,57.9591635052608,5466.523
2010-10-07,135.45493055555556,0.12350000000000003,0.24700000000000005,1264,231.22148334735635,19505.51
2011-05-26,406.5457152777778,207.25,0.082,1680,490.7599877826521,58542.583
2011-06-02,235.4297777777778,116.05,0.082,1615,308.1167377101398,33901.888
2011-06-10,377.3178263888889,285.4,0.4120000000000001,1803,417.93240986749873,54333.767
2011-06-16,498.89972916666665,234,0.165,1474,547.6834145433758,71841.561
2011-06-23,56.497479166666665,35,0.082,284,63.49698021903582,8135.637
2011-06-30,357.4877916666667,171.5,0.082,1580,427.5907264990323,51478.242
2011-07-07,461.59880555555554,201.25,0.082,1584,507.47918384217763,66470.228
2011-07-14,461.7624513888889,250.5,0.24700000000000005,1469,510.97079505679835,66493.793
2011-07-21,371.56438194444445,182.60000000000002,0.4120000000000001,1696,457.62404383884,53505.271
2011-07-28,461.39676388888887,188.9,0.906,1560,525.9635828135667,66441.134
2011-08-04,327.37595833333336,139.35,0.082,1728,430.9933033010141,47142.138
2011-08-11,311.7185763888889,93.4,0.24700000000000005,1634,462.4144928304826,44887.475
2011-08-18,398.7433402777778,95.1,0.4120000000000001,1444,486.7547330960439,57419.041
2011-08-25,148.61000694444445,12.27,0.329,1377,234.14570770599192,21399.841
2011-09-01,335.0752777777778,50.150000000000006,0.24700000000000005,1387,448.4933989843994,48250.84
2011-09-08,208.43975,18.695,0.082,1267,327.811522475107,30015.324
2011-09-15,79.44759027777778,4.0775,0.4120000000000001,738,130.49821074718062,11440.453
2011-09-22,118.46249305555556,1.9355,0.329,803,190.75296499769678,17058.599
2011-09-29,52.406930555555554,0.659,0.082,656.8,94.06094504421337,7546.598
2011-10-06,231.27803472222223,0.453,0.906,992,326.02203815213613,33304.037
2012-05-24,184.2415902777778,97.9,0.741,784,216.11535893719176,26530.789
2012-05-31,470.8092013888889,255.25,1.565,1506,522.5987091012585,67796.525
2012-06-07,395.71968055555556,167.10000000000002,0.082,1750,507.3002532768994,56983.634
2012-06-14,457.34904861111113,193,0.5770000000000002,1686,537.4445723399605,65858.263
2012-06-21,428.88747222222224,215.8,1.317,1531,499.5784460948917,61759.796
2012-06-28,333.6050138888889,183.35,0.165,1793,405.8074585280645,48039.122
2012-07-05,290.2135625,130.25,0.4120000000000001,1663,352.5798516095567,41790.753
2012-07-12,413.02321527777775,133.95,0.24700000000000005,1409,486.81334564338493,59475.343
2012-07-19,433.36063194444444,227.55,0.494,1548,499.56355255184525,62403.931
2012-07-26,98.02570833333333,29.655,0.24700000000000005,619.7,126.95146671736629,14115.702
2012-08-02,401.7758888888889,151.95,0.741,1466,492.289980101644,57855.728
2012-08-09,272.85133333333334,88,0.082,1260,373.15238915640464,39290.592
2012-08-16,327.1849236111111,61.815,0.329,1291,413.50246019914124,47114.629
2012-08-23,364.3333333333333,98.65,0.741,1345,457.06173769646466,52464
2012-08-30,329.47461111111113,76.8,0.24700000000000005,1128,407.4083977270462,47444.344
2012-09-06,229.7187361111111,16.805,0.329,1245,318.5118537964968,33079.498
2012-09-13,330.08880555555555,27.185000000000002,0.24700000000000005,1122,414.9230894225771,47532.788
2012-09-20,321.1567152777778,14.295,0.659,1134,415.54517644633233,46246.567
2012-09-27,227.58427777777777,3.8725000000000005,0.24700000000000005,1019,332.0547441910271,32772.136
2012-10-05,231.07150694444445,0.7415,0.082,963,341.18522791844634,33274.297
2013-05-23,251.28485416666666,57.915000000000006,0.082,1535,339.7672566034663,36185.019
2013-05-30,415.48099305555553,190.05,0.659,1513,483.2834946809749,59829.263
2013-06-06,324.5145763888889,85.35,0.33,1451,431.9664096060135,46730.099
2013-06-13,158.39651388888888,82.94999999999999,0.082,777,179.52935610626434,22809.098
2013-06-20,464.7036875,265.85,0.082,1445,502.04378457120646,66917.331
2013-06-27,222.13427083333335,52.6,1.4,1617,304.6971744700253,31987.335
2013-07-03,366.1370347222222,203.9,0.165,1359,435.063121776863,52723.733
2013-07-11,262.20619444444446,85.15,0.906,1527,350.0710154950138,37757.692
2013-07-18,390.04495833333334,61.84000000000001,0.329,1436,511.7819202449483,56166.474
2013-07-25,316.5189652777778,82.8,0.24700000000000005,1499,403.98823680510907,45578.731
2013-08-01,243.436125,26.61,0.082,1598,394.7966503363946,35054.802
2013-08-08,224.2484375,33.980000000000004,0.082,1520,333.0232041359297,32291.775
2013-08-15,358.1119166666667,127.30000000000001,0.906,1445,445.50351638491213,51568.116
2013-08-22,336.26088194444446,69.345,0.24700000000000005,1379,427.84389016105723,48421.567
2013-08-29,150.414375,26.28,0.082,1158,214.20334389794476,21659.67
2013-09-05,271.104875,22.86,0.5770000000000002,1327,393.65758288836344,39039.102
2013-09-11,289.1338402777778,24.504999999999995,0.082,1048,381.05641166303155,41635.273
2013-09-18,325.5795625,27.229999999999997,0.082,1090,415.4500980493312,46883.457
2013-09-25,211.4747357142857,1.648,0.082,1210,334.7434051759863,29606.463
2013-10-02,233.61376388888888,1.1535000000000002,0.659,1065,339.7679735452751,33640.382
2014-05-29,NA,NA,NA,NA,NA,NA
2014-06-05,NA,NA,NA,NA,NA,NA
2014-06-12,NA,NA,NA,NA,NA,NA
2014-06-19,NA,NA,NA,NA,NA,NA
2014-06-26,NA,NA,NA,NA,NA,NA
2014-07-02,NA,NA,NA,NA,NA,NA
2014-07-09,NA,NA,NA,NA,NA,NA
2014-07-17,NA,NA,NA,NA,NA,NA
2014-07-23,NA,NA,NA,NA,NA,NA
2014-07-30,NA,NA,NA,NA,NA,NA
2014-08-06,NA,NA,NA,NA,NA,NA
2014-08-12,NA,NA,NA,NA,NA,NA
2014-08-20,NA,NA,NA,NA,NA,NA
2014-08-27,NA,NA,NA,NA,NA,NA
2014-09-04,NA,NA,NA,NA,NA,NA
2014-09-10,NA,NA,NA,NA,NA,NA
2014-09-17,NA,NA,NA,NA,NA,NA
2014-09-25,NA,NA,NA,NA,NA,NA
2014-10-03,NA,NA,NA,NA,NA,NA
2014-10-10,NA,NA,NA,NA,NA,NA
2015-05-21,NA,NA,NA,NA,NA,NA
2015-05-28,NA,NA,NA,NA,NA,NA
2015-06-05,291.41590972222224,83.30000000000001,0.115,1190,346.0306024535033,41963.891
2015-06-11,491.42095652173913,185.3,0.008,1743,598.0969480810382,67816.092
2015-06-19,438.34778472222223,253.25,0.15700000000000006,1663,486.60816962984273,63122.081
2015-06-25,536.6782291666667,303.4,0.115,1698,560.242656892588,77281.665
2015-07-02,506.167,298.35,0.12400000000000003,1824,562.6777575370747,72888.048
2015-07-09,327.3627638888889,117.2,0.2880000000000001,1531,414.7881047475563,47140.238
2015-07-16,539.1700972222222,301.5,0.041,1636,587.707204209386,77640.494
2015-07-23,462.88975694444446,278.35,0.10700000000000003,1698,519.3039005008013,66656.125
2015-07-30,347.46439583333336,132.60000000000002,0.321,1632,460.1727995775175,50034.873
2015-08-06,432.5497916666667,254.29999999999998,0.066,1747,495.78243787949214,62287.17
2015-08-13,475.57465277777777,181.89999999999998,0.09899999999999998,1835,573.8316819317732,68482.75
2015-08-20,411.37691666666666,149.6,0.09899999999999998,1774,529.7886633524242,59238.276
2015-08-25,245.40300694444446,12.41,0.255,1624,436.13985790863734,35338.033
2015-09-03,315.7966875,73.255,0.033,1431,427.6684232016794,45474.723
2015-09-10,88.09438888888889,15.17,0.24700000000000005,452.5,119.2206641435985,12685.592
2015-09-17,404.66865034965036,27.08,0.058,1391,510.83600556182,57867.617
2015-09-24,343.54190277777775,12.125,0.025,1254,448.21010926963817,49470.034
2015-10-02,150.81497222222222,0.8570000000000001,0.041,611.7,202.78523931144647,21717.356
2016-05-26,508.389375,245.39999999999998,0.041,1601,553.5791172255399,73208.07
2016-06-03,481.39804166666664,151.89999999999998,0.21400000000000005,1819,598.4257296316737,69321.318
2016-06-09,303.7377916666667,107.4,0.066,1489,364.34727624042483,43738.242
2016-06-16,559.2777762237762,368.4,0.016,1696,600.62129939814,79976.722
2016-06-23,465.8648611111111,329,0.025,1723,491.746551103489,67084.54
2016-06-30,561.0611111111111,342.6,0.231,1988,614.4808439132706,80792.8
2016-07-07,374.89452083333333,151.14999999999998,0.14800000000000005,1762,489.887663608295,53984.811
2016-07-14,329.90590972222225,84.5,0.033,1794,427.2771380794711,47506.451
2016-07-21,526.2634583333333,212.8,0.10700000000000003,1691,586.1357026829254,75781.938
2016-07-27,484.8615972222222,265.85,0.15700000000000006,1602,529.9135992027421,69820.07
2016-08-04,549.449875,206.15,0.09899999999999998,1724,624.1878899240215,79120.782
2016-08-10,178.23455555555554,44.24000000000001,0.058,1361,262.05518666659515,25665.776
2016-08-15,311.0357569444445,123.5,0.23900000000000005,1585,398.2604918774984,44789.149
2016-08-22,374.1467777777778,96.5,0.025,1554,450.27881003753373,53877.136
2016-08-31,223.61590972222223,59.99,0.09899999999999998,1142,281.32987921988115,32200.691
2016-09-07,268.7099583333333,52.665000000000006,0.082,1338,359.3532539886567,38694.234
2016-09-14,235.2049375,31.665,0.041,1549,339.1948000131298,33869.511
2016-09-21,344.368625,18.285,0.2970000000000001,1278,428.84727719322206,49589.082
2016-09-28,82.61092307692307,2.241,0.049,691.9,115.61112111097398,11813.362
2016-10-05,341.62941726618703,6.4,0.07400000000000002,1282,457.40594187222035,47486.489
