covariate_name,global_linear_r2,global_Pearsons_r,global_Spearmans_r,global_quad_r2,linear_pvalue,Pearsons_pvalue,Spearmans_pvalue,quad_pvalue,adj_Spearmans_pvalue
HCS.tempC_mean,0.24,0.5,0.49,0.26,4.62E-08,4.62E-08,8.99E-08,5.32E-08,6.92E-06
HCS.tempC_median,0.24,0.5,0.49,0.25,5.80E-08,5.80E-08,1.11E-07,8.83E-08,8.45E-06
HCS.tempC_min,0.26,0.52,0.51,0.28,9.61E-09,9.61E-09,2.63E-08,1.48E-08,2.05E-06
HCS.tempC_max,0.22,0.47,0.47,0.24,2.62E-07,2.62E-07,3.44E-07,2.32E-07,2.54E-05
HCS.tempC_sd,0.05,-0.24,-0.17,0.05,0.011307468,0.011307468,0.083786944,0.025368545,1
HCS.tempC_mean_lag,0.3,0.56,0.54,0.32,5.77E-10,5.77E-10,2.58E-09,7.88E-10,2.06E-07
HCS.tempC_median_lag,0.3,0.55,0.54,0.31,7.89E-10,7.89E-10,1.93E-09,1.54E-09,1.56E-07
HCS.tempC_min_lag,0.32,0.57,0.56,0.33,1.27E-10,1.27E-10,5.15E-10,3.86E-10,4.23E-08
HCS.tempC_max_lag,0.28,0.53,0.52,0.31,3.65E-09,3.65E-09,7.84E-09,2.61E-09,6.19E-07
HCS.tempC_sd_lag,0.04,-0.21,-0.19,0.03,0.029325353,0.029325353,0.049429998,0.091813557,1
wtr_mean_diff,0.03,-0.19,-0.2,0.02,0.051773849,0.051773849,0.045970945,0.105832289,1
wtr_median_diff,0.02,-0.18,-0.2,0.02,0.063038281,0.063038281,0.042511942,0.156098339,1
wtr_max_diff,0.03,-0.19,-0.18,0.03,0.057033761,0.057033761,0.061926015,0.101629692,1
wtr_min_diff,0.03,-0.21,-0.2,0.04,0.033499063,0.033499063,0.04700726,0.050745321,1
wtr_sd_diff,-0.01,-0.01,-0.02,0.02,0.956334347,0.956334347,0.82972874,0.127581076,1
ma_3,0.2,0.45,0.44,0.2,1.91E-06,1.91E-06,3.10E-06,4.71E-06,0.000220057
ma_5,0.22,0.48,0.45,0.23,4.54E-07,4.54E-07,1.84E-06,9.30E-07,0.000132673
ma_7,0.25,0.51,0.49,0.27,5.09E-08,5.09E-08,2.22E-07,6.79E-08,1.66E-05
ma_10,0.22,0.47,0.44,0.26,1.06E-06,1.06E-06,7.45E-06,3.10E-07,0.000521541
ma_14,0.27,0.52,0.48,0.31,4.06E-08,4.06E-08,6.82E-07,1.21E-08,4.98E-05
gdd_sum,0.36,0.61,0.61,0.52,4.01E-12,4.01E-12,4.15E-12,1.23E-17,3.45E-10
schmidt.stability_mean,0,0.1,0.19,0.01,0.312194269,0.312194269,0.057177982,0.280657958,1
schmidt.stability_median,0,0.1,0.19,0.01,0.311501435,0.311501435,0.056295972,0.267928008,1
schmidt.stability_min,0,0.09,0.18,0.01,0.36080459,0.36080459,0.077055739,0.283921537,1
schmidt.stability_max,0,0.12,0.2,0,0.237757327,0.237757327,0.047359139,0.333375158,1
schmidt.stability_sd,0.01,0.13,0.19,0.01,0.19154462,0.19154462,0.051862471,0.254878458,1
schmidt.stability_mean_lag,0.07,0.27,0.35,0.06,0.006471295,0.006471295,0.000387046,0.022815067,0.025157968
schmidt.stability_median_lag,0.07,0.28,0.35,0.06,0.005719984,0.005719984,0.000336408,0.020347934,0.022202943
schmidt.stability_min_lag,0.05,0.25,0.34,0.05,0.012801584,0.012801584,0.000730603,0.036541484,0.046758573
schmidt.stability_max_lag,0.08,0.29,0.36,0.07,0.003254113,0.003254113,0.000224748,0.013426615,0.015282875
schmidt.stability_sd_lag,0.04,0.22,0.13,0.04,0.027532052,0.027532052,0.200306047,0.067496293,1
schmidt.stability_mean_diff,0.1,-0.34,-0.34,0.11,0.000813991,0.000813991,0.000776884,0.001723985,0.048166802
schmidt.stability_median_diff,0.11,-0.35,-0.36,0.12,0.00057288,0.00057288,0.000299535,0.001095223,0.020068855
schmidt.stability_min_diff,0.09,-0.32,-0.3,0.09,0.00177062,0.00177062,0.003418469,0.005896812,0.198271197
schmidt.stability_max_diff,0.1,-0.33,-0.34,0.11,0.000970151,0.000970151,0.000753349,0.001592538,0.047460969
schmidt.stability_sd_diff,0,-0.1,-0.05,0.01,0.355567036,0.355567036,0.629082311,0.280045309,1
precip_mm,0.02,-0.15,-0.3,0.04,0.09533783,0.09533783,0.000787574,0.031484791,0.048166802
precip_mm_1daylag,0,-0.09,-0.23,0,0.35670983,0.35670983,0.013687276,0.421604057,0.725425641
precip_mm_1weeklag,0.02,-0.16,-0.22,0.02,0.083049656,0.083049656,0.017210164,0.121100726,0.894928508
ShortWaveRad_Wperm2_mean,0,0.07,0.04,0.07,0.476314967,0.476314967,0.688449139,0.007686629,1
ShortWaveRad_Wperm2_median,0.03,-0.2,-0.21,0.1,0.032919676,0.032919676,0.025919612,0.000904691,1
ShortWaveRad_Wperm2_min,0.16,0.4,0.27,0.15,5.87E-06,5.87E-06,0.002678437,2.56E-05,0.158027805
ShortWaveRad_Wperm2_max,0,0.11,0.07,0.04,0.215431245,0.215431245,0.453292607,0.039411721,1
ShortWaveRad_Wperm2_sd,0.02,0.15,0.11,0.04,0.094250032,0.094250032,0.257469571,0.026315547,1
ShortWaveRad_Wperm2_sum,0,0.07,0.04,0.07,0.476314967,0.476314967,0.688449139,0.007686629,1
par_mean,-0.01,0.04,0,0.09,0.715810002,0.715810002,0.965313664,0.00485303,1
par_median,0.07,-0.28,-0.21,0.12,0.006704077,0.006704077,0.052589152,0.001518507,1
par_min,0.02,0.18,0.16,0.01,0.091960522,0.091960522,0.139978701,0.241718409,1
par_max,0,0.11,-0.03,0.04,0.284488935,0.284488935,0.808693515,0.053540398,1
par_sd,0.01,0.14,0.08,0.05,0.18657018,0.18657018,0.463800357,0.046232656,1
par_sum,-0.01,0.04,0,0.09,0.717592818,0.717592818,0.965313664,0.004882956,1
AveWindSp_ms_mean_in,0,0.08,0.08,0.02,0.436261629,0.436261629,0.435911956,0.098473759,1
AveWindSp_ms_median_in,0,0.08,0.09,0.02,0.425319222,0.425319222,0.353086892,0.104969898,1
AveWindSp_ms_min_in,0.01,0.13,0.16,0.01,0.193880697,0.193880697,0.10732523,0.178003989,1
AveWindSp_ms_max_in,-0.01,0.06,0.03,0.04,0.507865482,0.507865482,0.769843643,0.050151995,1
AveWindSp_ms_sd_in,-0.01,0.03,0.01,0.05,0.783227889,0.783227889,0.898421911,0.020671073,1
AveWindSp_ms_mean_1daylag_in,0.02,0.17,0.13,0.11,0.07388052,0.07388052,0.177245642,0.001006691,1
AveWindSp_ms_median_1daylag_in,0.02,0.17,0.15,0.09,0.076968683,0.076968683,0.132316877,0.002812004,1
AveWindSp_ms_min_1daylag_in,0.01,0.13,0.14,0.09,0.187465137,0.187465137,0.151663787,0.002480444,1
AveWindSp_ms_max_1daylag_in,0.02,0.18,0.13,0.14,0.055695553,0.055695553,0.193705933,0.000177658,1
AveWindSp_ms_sd_1daylag_in,0.02,0.18,0.16,0.13,0.062384848,0.062384848,0.101067767,0.000334039,1
AveWindSp_ms_mean_2daylag_in,0.07,0.29,0.25,0.1,0.002857676,0.002857676,0.009076274,0.001543695,0.499195055
AveWindSp_ms_median_2daylag_in,0.07,0.28,0.26,0.1,0.003340333,0.003340333,0.007985799,0.0018331,0.455190523
AveWindSp_ms_min_2daylag_in,0.05,0.23,0.29,0.13,0.015829143,0.015829143,0.002303234,0.000274019,0.138194019
AveWindSp_ms_max_2daylag_in,0.08,0.3,0.23,0.09,0.001982653,0.001982653,0.018589621,0.002691304,0.948070688
AveWindSp_ms_sd_2daylag_in,0.06,0.25,0.2,0.09,0.008117132,0.008117132,0.040282376,0.003535901,1
AveWindSp_ms_mean_3daylag_in,0.04,0.21,0.23,0.03,0.030378737,0.030378737,0.018868845,0.069601485,0.948070688
AveWindSp_ms_median_3daylag_in,0.04,0.22,0.24,0.04,0.021706917,0.021706917,0.012395999,0.058890095,0.669383957
AveWindSp_ms_min_3daylag_in,0.07,0.29,0.26,0.1,0.002886299,0.002886299,0.00805506,0.001812886,0.455190523
AveWindSp_ms_max_3daylag_in,0.03,0.2,0.19,0.03,0.042112119,0.042112119,0.047895741,0.085245646,1
AveWindSp_ms_sd_3daylag_in,0,0.12,0.11,-0.01,0.231878599,0.231878599,0.266095251,0.490272781,1
AveWindSp_ms_mean_1weeklag_in,0,0.09,0.08,0.01,0.378753999,0.378753999,0.44362893,0.22836048,1
AveWindSp_ms_median_1weeklag_in,0,0.1,0.09,0.01,0.331520346,0.331520346,0.356523792,0.282334223,1
AveWindSp_ms_min_1weeklag_in,0.01,0.14,0.13,0,0.145545657,0.145545657,0.171176947,0.347791267,1
AveWindSp_ms_max_1weeklag_in,-0.01,0.05,0.04,0.04,0.610974033,0.610974033,0.657483377,0.040365711,1
AveWindSp_ms_sd_1weeklag_in,-0.01,0,0.03,0.07,0.98030949,0.98030949,0.786127688,0.007884025,1
windsp_cumsum_1day_in,-0.01,0.06,0.09,0,0.570428362,0.570428362,0.342390479,0.287558724,1
windsp_cumsum_2day_in,0,0.11,0.13,0.05,0.258096957,0.258096957,0.168454271,0.024483688,1
AveWindDir_cove_mean,0.02,0.17,0.2,0.01,0.08403519,0.08403519,0.03679082,0.192668973,1
AveWindDir_cove_mean_1daylag,0.06,0.26,0.19,0.08,0.006622083,0.006622083,0.044024283,0.004894955,1
AveWindDir_cove_mean_2daylag,0.12,0.36,0.37,0.12,0.000129611,0.000129611,0.000104544,0.000582236,0.007213504
AveWindDir_cove_mean_3daylag,0.02,0.18,0.2,0.02,0.063929267,0.063929267,0.039116448,0.102595027,1
AveWindDir_cove_mean_1weeklag,0,0.12,0.11,-0.01,0.235554852,0.235554852,0.264953157,0.496529162,1
