"covariate_name","global_linear_r2","global_Pearsons_r","global_Spearmans_r","global_quad_r2","linear_r2_2009","Pearsons_r_2009","Spearmans_r_2009","quad_r2_2009","linear_r2_2010","Pearsons_r_2010","Spearmans_r_2010","quad_r2_2010","linear_r2_2011","Pearsons_r_2011","Spearmans_r_2011","quad_r2_2011","linear_r2_2012","Pearsons_r_2012","Spearmans_r_2012","quad_r2_2012","linear_r2_2013","Pearsons_r_2013","Spearmans_r_2013","quad_r2_2013","linear_r2_2014","Pearsons_r_2014","Spearmans_r_2014","quad_r2_2014"
"HCS.tempC_mean","0.24","0.5","0.49","0.26","0.33","0.61","0.63","0.3","0.12","0.42","0.35","0.26","0.24","0.54","0.46","0.22","0.38","0.64","0.53","0.34","0.07","0.34","0.37","0.28","0.57","0.77","0.64","0.61"
"HCS.tempC_median","0.24","0.5","0.49","0.25","0.33","0.61","0.62","0.3","0.13","0.43","0.38","0.24","0.24","0.54","0.45","0.25","0.37","0.63","0.54","0.33","0.06","0.34","0.38","0.27","0.56","0.76","0.64","0.59"
"HCS.tempC_min","0.26","0.52","0.51","0.28","0.34","0.62","0.63","0.3","0.14","0.44","0.39","0.23","0.27","0.56","0.5","0.22","0.36","0.63","0.54","0.32","0.07","0.35","0.38","0.28","0.6","0.79","0.64","0.6"
"HCS.tempC_max","0.22","0.47","0.47","0.24","0.31","0.59","0.62","0.29","0.08","0.37","0.35","0.3","0.16","0.46","0.38","0.13","0.39","0.65","0.56","0.35","0.07","0.35","0.34","0.29","0.55","0.76","0.61","0.59"
"HCS.tempC_sd","0.05","-0.24","-0.17","0.05","0.02","-0.29","-0.08","0.09","0","-0.25","-0.15","-0.07","0.16","-0.46","-0.42","0.1","0.01","0.25","0.17","-0.02","-0.06","-0.06","-0.1","-0.09","0.14","-0.44","-0.33","0.38"
"HCS.tempC_mean_lag","0.3","0.56","0.54","0.32","0.36","0.63","0.72","0.35","0.26","0.55","0.5","0.23","0.47","0.71","0.72","0.44","0.18","0.47","0.41","0.12","0.19","0.49","0.4","0.44","0.7","0.85","0.7","0.76"
"HCS.tempC_median_lag","0.3","0.55","0.54","0.31","0.38","0.65","0.73","0.37","0.27","0.56","0.52","0.24","0.49","0.72","0.71","0.46","0.15","0.45","0.43","0.1","0.18","0.48","0.41","0.43","0.7","0.85","0.7","0.75"
"HCS.tempC_min_lag","0.32","0.57","0.56","0.33","0.4","0.66","0.73","0.39","0.26","0.55","0.55","0.22","0.45","0.7","0.72","0.44","0.17","0.47","0.43","0.12","0.2","0.49","0.43","0.44","0.71","0.85","0.69","0.73"
"HCS.tempC_max_lag","0.28","0.53","0.52","0.31","0.29","0.58","0.63","0.26","0.21","0.51","0.51","0.27","0.46","0.7","0.65","0.43","0.18","0.47","0.4","0.15","0.19","0.48","0.39","0.45","0.69","0.84","0.75","0.76"
"HCS.tempC_sd_lag","0.04","-0.21","-0.19","0.03","0.22","-0.51","-0.45","0.17","-0.02","-0.19","-0.17","-0.07","0.06","-0.34","-0.23","-0.01","-0.02","0.21","0.3","0.02","-0.06","-0.01","-0.07","-0.12","0.12","-0.41","-0.28","0.44"
"wtr_mean_diff","0.03","-0.19","-0.2","0.02","-0.06","-0.09","-0.1","0.01","-0.06","-0.09","0.05","0.02","0.04","-0.32","-0.44","0.4","-0.04","0.16","0.07","0","0.2","-0.5","-0.5","0.15","0.02","-0.29","-0.45","0.08"
"wtr_median_diff","0.02","-0.18","-0.2","0.02","-0.06","-0.1","-0.14","0.06","-0.06","-0.09","0.04","0.03","0.03","-0.31","-0.43","0.25","-0.03","0.18","0.08","0","0.19","-0.49","-0.47","0.14","0.02","-0.28","-0.41","0.07"
"wtr_max_diff","0.03","-0.19","-0.18","0.03","-0.06","-0.05","-0.06","-0.1","-0.06","-0.08","0.05","-0.01","0.08","-0.37","-0.38","0.22","-0.04","0.16","0.06","0.02","0.19","-0.48","-0.46","0.14","0.02","-0.28","-0.42","0.13"
"wtr_min_diff","0.03","-0.21","-0.2","0.04","-0.05","-0.11","-0.19","0.11","-0.05","-0.11","0.04","-0.02","0.03","-0.3","-0.31","0.36","-0.04","0.16","0.11","-0.07","0.19","-0.49","-0.37","0.14","0.09","-0.38","-0.41","0.02"
"wtr_sd_diff","-0.01","-0.01","-0.02","0.02","-0.05","0.11","0.05","0.48","-0.06","0.09","0.15","-0.1","-0.03","-0.18","-0.25","-0.08","-0.06","-0.03","-0.12","-0.12","-0.06","-0.07","0.03","-0.09","-0.04","0.17","-0.03","-0.06"
"ma_3","0.2","0.45","0.44","0.2","0.36","0.63","0.66","0.32","0.14","0.45","0.44","0.22","0.21","0.51","0.49","0.21","0.29","0.58","0.48","0.25","0.01","0.26","0.26","0.2","0.43","0.68","0.52","0.42"
"ma_5","0.22","0.48","0.45","0.23","0.4","0.66","0.66","0.36","0.13","0.44","0.37","0.23","0.33","0.62","0.53","0.36","0.27","0.56","0.49","0.23","0.03","0.3","0.31","0.16","0.47","0.71","0.55","0.49"
"ma_7","0.25","0.51","0.49","0.27","0.39","0.65","0.64","0.35","0.15","0.45","0.37","0.26","0.43","0.68","0.59","0.48","0.26","0.55","0.48","0.22","0.07","0.36","0.33","0.22","0.56","0.76","0.61","0.59"
"ma_10","0.22","0.47","0.44","0.26","0.36","0.63","0.65","0.31","0.17","0.47","0.4","0.29","0.41","0.67","0.54","0.49","0.19","0.49","0.39","0.14","0.02","0.28","0.25","0.35","0.53","0.75","0.56","0.63"
"ma_14","0.27","0.52","0.48","0.31","0.4","0.66","0.66","0.35","0.19","0.5","0.41","0.29","0.55","0.76","0.7","0.55","0.21","0.51","0.4","0.15","0.09","0.38","0.34","0.4","0.61","0.8","0.59","0.78"
"schmidt.stability_mean","0","0.1","0.19","0.01","-0.12","-0.06","0.08","0.23","-0.01","-0.2","-0.06","-0.06","0.22","0.51","0.45","0.18","0.2","0.49","0.46","0.2","-0.07","0.01","0.16","-0.14","0.11","0.42","0.43","0.05"
"schmidt.stability_median","0","0.1","0.19","0.01","-0.12","-0.07","0.08","0.26","-0.02","-0.19","-0.05","-0.06","0.23","0.52","0.45","0.18","0.19","0.49","0.46","0.2","-0.07","0","0.16","-0.14","0.11","0.42","0.41","0.05"
"schmidt.stability_min","0","0.09","0.18","0.01","-0.12","0","-0.03","-0.13","0.01","-0.25","-0.1","-0.04","0.21","0.5","0.47","0.17","0.18","0.47","0.44","0.19","-0.07","0.01","0.15","-0.14","0.07","0.38","0.41","0.02"
"schmidt.stability_max","0","0.12","0.2","0","-0.12","-0.08","0.08","0.22","-0.04","-0.13","-0.01","-0.05","0.22","0.51","0.46","0.18","0.22","0.51","0.47","0.21","-0.07","0.02","0.12","-0.14","0.14","0.45","0.49","0.09"
"schmidt.stability_sd","0.01","0.13","0.19","0.01","-0.02","-0.31","-0.19","-0.04","-0.04","0.14","0.23","-0.09","-0.05","0.04","0.11","0.12","0.05","0.32","0.28","0.07","-0.07","0.02","-0.02","-0.14","0.14","0.46","0.57","0.12"
"schmidt.stability_mean_lag","0.07","0.27","0.35","0.06","-0.13","-0.11","-0.1","-0.25","-0.04","-0.13","-0.06","-0.05","0.53","0.74","0.71","0.51","0.35","0.62","0.52","0.32","0.06","0.35","0.49","0.02","0.53","0.75","0.6","0.49"
"schmidt.stability_median_lag","0.07","0.28","0.35","0.06","-0.13","-0.11","-0.1","-0.24","-0.05","-0.11","0.01","-0.04","0.54","0.75","0.71","0.52","0.35","0.62","0.52","0.32","0.06","0.34","0.49","0.01","0.54","0.76","0.62","0.5"
"schmidt.stability_min_lag","0.05","0.25","0.34","0.05","-0.13","-0.12","0.08","-0.13","-0.01","-0.22","-0.08","-0.07","0.51","0.73","0.69","0.48","0.34","0.61","0.51","0.31","0.08","0.37","0.49","0.05","0.38","0.66","0.5","0.4"
"schmidt.stability_max_lag","0.08","0.29","0.36","0.07","-0.12","-0.14","-0.1","-0.27","-0.06","-0.02","-0.01","0","0.51","0.73","0.69","0.49","0.35","0.62","0.52","0.31","0.07","0.36","0.5","0.03","0.56","0.77","0.69","0.52"
"schmidt.stability_sd_lag","0.04","0.22","0.13","0.04","0","-0.35","-0.48","-0.09","0.19","0.48","0.33","0.19","-0.05","-0.04","0.07","0.11","-0.05","-0.08","-0.22","0.2","-0.07","0.03","0.12","-0.14","0.12","0.44","0.6","0.19"
"schmidt.stability_mean_diff","0.1","-0.34","-0.34","0.11","-0.14","0.02","-0.2","0.04","-0.05","-0.08","0.02","-0.05","0.14","-0.43","-0.45","0.21","-0.01","-0.2","-0.15","-0.07","0.33","-0.61","-0.57","0.34","0.1","-0.43","-0.53","0"
"schmidt.stability_median_diff","0.11","-0.35","-0.36","0.12","-0.14","0","-0.22","0.07","-0.05","-0.1","-0.12","-0.05","0.15","-0.44","-0.46","0.25","-0.01","-0.21","-0.16","-0.07","0.32","-0.61","-0.57","0.33","0.12","-0.45","-0.62","0.03"
"schmidt.stability_min_diff","0.09","-0.32","-0.3","0.09","-0.11","0.16","0","-0.3","-0.06","-0.03","0.06","-0.04","0.2","-0.5","-0.51","0.16","0","-0.23","-0.2","-0.06","0.36","-0.64","-0.53","0.43","-0.02","-0.27","-0.01","-0.05"
"schmidt.stability_max_diff","0.1","-0.33","-0.34","0.11","-0.14","0.04","-0.07","0.2","-0.04","-0.15","-0.11","-0.07","0.07","-0.34","-0.45","0.3","-0.03","-0.16","-0.14","-0.09","0.31","-0.6","-0.55","0.32","0.08","-0.4","-0.42","-0.02"
"schmidt.stability_sd_diff","0","-0.1","-0.05","0.01","-0.11","-0.16","-0.08","-0.06","0.15","-0.45","-0.29","0.5","-0.05","0.05","-0.03","0.12","0.04","0.3","0.39","0.23","-0.07","-0.01","0.07","-0.14","-0.07","-0.16","0.06","-0.11"
"precip_mm","0.02","-0.15","-0.3","0.04","-0.04","-0.15","-0.39","0.31","-0.04","-0.12","-0.31","-0.1","0.02","-0.27","-0.35","0.02","0.05","-0.32","-0.31","-0.01","-0.02","-0.17","-0.14","-0.03","-0.05","-0.03","0.02","-0.12"
"precip_mm_1daylag","0","-0.09","-0.23","0","-0.06","-0.08","-0.35","0.2","-0.04","-0.1","-0.14","-0.1","-0.03","0.15","0.07","-0.07","-0.04","-0.1","-0.4","0","0.1","-0.38","-0.5","0.05","-0.04","0.1","0","-0.01"
"precip_mm_1weeklag","0.02","-0.16","-0.22","0.02","-0.05","-0.13","-0.29","-0.02","-0.05","-0.03","-0.05","-0.11","0.13","-0.42","-0.51","0.11","0.11","-0.4","-0.17","0.12","-0.05","0.05","-0.12","0.02","0.01","0.25","0.18","-0.04"
"gdd_sum","0.36","0.61","0.61","0.52","0.52","0.74","0.74","0.53","0.09","0.38","0.38","0.31","0.35","0.63","0.65","0.59","0.23","0.52","0.52","0.54","0.84","0.92","0.94","0.84","0.23","0.52","0.4","0.72"
"ShortWaveRad_Wperm2_mean","0","0.07","0.04","0.07","-0.06","0.03","0.08","0.04","-0.05","0.08","0.12","0.06","-0.04","0.12","-0.02","-0.02","-0.03","0.17","0.12","-0.07","0.09","-0.38","-0.41","0.12","0.08","0.36","0.38","0.39"
"ShortWaveRad_Wperm2_median","0.03","-0.2","-0.21","0.1","0.19","-0.49","-0.44","0.14","-0.05","0.07","0.08","0.14","-0.04","-0.12","-0.24","0.31","-0.06","-0.01","-0.1","-0.11","0.52","-0.74","-0.71","0.51","-0.04","0.11","0.17","-0.04"
"ShortWaveRad_Wperm2_min","0.16","0.4","0.27","0.15","0.17","0.47","0.39","0.11","0.17","0.46","0.32","0.16","0.23","0.52","0.26","0.2","0.04","0.31","0.23","-0.01","0.16","0.45","0.3","0.11","0.04","0.3","0.28","-0.01"
"ShortWaveRad_Wperm2_max","0","0.11","0.07","0.04","0.01","0.25","0.21","0.2","-0.05","0.05","0.06","-0.04","-0.03","0.16","-0.01","0","-0.04","0.12","-0.02","-0.09","0.03","-0.29","-0.29","0","0.14","0.43","0.4","0.36"
"ShortWaveRad_Wperm2_sd","0.02","0.15","0.11","0.04","0","0.23","0.21","0.14","-0.05","0.09","0.12","0","-0.01","0.21","0.02","-0.03","-0.02","0.19","0.16","0","-0.04","-0.13","-0.13","-0.05","0.12","0.4","0.38","0.3"
"ShortWaveRad_Wperm2_sum","0","0.07","0.04","0.07","-0.06","0.03","0.08","0.04","-0.05","0.08","0.12","0.06","-0.04","0.12","-0.02","-0.02","-0.03","0.17","0.12","-0.07","0.09","-0.38","-0.41","0.12","0.08","0.36","0.38","0.39"
"par_mean","-0.01","0.04","0","0.09","0.14","0.48","0.36","0.01","-0.05","0.03","0.14","0.15","-0.05","0.06","-0.06","0","-0.06","0","-0.08","-0.09","-0.03","-0.15","-0.11","0.01",NA,NA,NA,NA
"par_median","0.07","-0.28","-0.21","0.12","-0.1","-0.15","-0.13","-0.26","-0.04","-0.13","0.07","0.12","-0.01","-0.21","-0.18","0.06","0","-0.22","-0.19","0.02","0.21","-0.5","-0.58","0.22",NA,NA,NA,NA
"par_min","0.02","0.18","0.16","0.01","-0.12","0.03","0.07","-0.21","0.21","0.5","0.42","0.18","-0.04","0.14","0.26","0.07","-0.02","-0.19","-0.04","0.03","0.01","-0.24","-0.23","-0.05",NA,NA,NA,NA
"par_max","0","0.11","-0.03","0.04","-0.11","0.1","0.08","-0.27","0.02","0.27","0.31","0.02","-0.01","0.2","-0.07","0.02","-0.05","-0.04","-0.14","0.01","0.1","-0.38","-0.45","0.26",NA,NA,NA,NA
"par_sd","0.01","0.14","0.08","0.05","0.15","0.5","0.38","0.03","-0.04","0.12","0.14","0.1","-0.02","0.17","0.08","-0.04","-0.05","0.04","-0.05","-0.11","-0.05","-0.04","-0.08","-0.01",NA,NA,NA,NA
"par_sum","-0.01","0.04","0","0.09","0.14","0.48","0.36","0.01","-0.05","0.03","0.14","0.15","-0.05","0.06","-0.06","0","-0.06","0","-0.08","-0.09","-0.03","-0.15","-0.11","0.01",NA,NA,NA,NA
"AveWindSp_ms_mean","0.01","-0.15","-0.11","0.01","-0.12","-0.06","-0.01","-0.28","-0.05","-0.07","-0.05","-0.04","-0.01","-0.21","-0.16","-0.07","0.03","-0.28","-0.26","0.12","-0.04","0.12","0.21","-0.1","-0.05","-0.09","-0.05","-0.1"
"AveWindDir_cove_mean","0.02","0.17","0.2","0.01","-0.08","-0.19","0.1","-0.24","-0.02","0.19","0.31","-0.01","-0.05","-0.1","-0.17","-0.11","-0.05","0.07","0.06","-0.05","0.09","0.36","0.4","0.07","0.14","0.44","0.22","0.13"
"AveWindSp_ms_median","0.01","-0.12","-0.06","0","-0.11","-0.1","0.14","-0.22","-0.05","0.03","0.1","-0.02","-0.04","-0.12","-0.04","-0.1","0.06","-0.33","-0.25","0.07","-0.04","0.1","0.18","-0.1","-0.05","-0.1","-0.04","-0.12"
"AveWindSp_ms_min","-0.01","-0.04","0","-0.01","-0.1","-0.15","-0.2","-0.11","-0.05","0.06","0.13","-0.02","0.02","-0.27","-0.26","-0.02","-0.05","-0.09","0.01","-0.11","-0.02","0.19","0.32","0","-0.06","-0.05","-0.04","-0.03"
"AveWindSp_ms_max","0.02","-0.18","-0.14","0.02","-0.11","0.11","0.1","-0.2","-0.03","-0.14","-0.18","0.11","-0.02","-0.17","-0.21","-0.08","-0.02","-0.19","-0.2","0.01","-0.04","-0.11","0.03","-0.07","-0.06","-0.01","0.01","-0.11"
"AveWindSp_ms_sd","0.03","-0.2","-0.14","0.03","-0.12","-0.05","0.01","0.37","0","-0.22","-0.21","0","-0.05","-0.04","-0.04","-0.04","-0.02","-0.17","-0.19","-0.01","0.01","-0.25","-0.17","0.02","-0.05","-0.12","-0.17","-0.12"
"AveWindSp_ms_mean_1daylag","0","-0.08","-0.05","0","-0.1","0.15","0.22","-0.26","-0.05","-0.04","-0.01","-0.11","0.04","-0.3","-0.26","-0.01","-0.06","-0.01","0.05","-0.03","-0.05","0.07","0.04","-0.11","-0.05","-0.11","-0.17","-0.11"
"AveWindDir_cove_mean_1daylag","0.06","0.26","0.19","0.08","0.18","0.52","0.38","0.08","-0.03","0.15","0.17","-0.06","-0.05","-0.06","-0.22","-0.03","-0.03","0.17","0.05","0.06","0.09","0.37","0.39","0.1","0.35","0.62","0.37","0.36"
"AveWindSp_ms_median_1daylag","0","-0.07","-0.06","-0.01","-0.09","0.18","0.33","-0.24","-0.06","-0.01","0.04","-0.12","0.04","-0.3","-0.31","-0.01","-0.06","0.01","0.02","-0.07","-0.05","0.05","0.03","-0.11","-0.05","-0.12","-0.2","-0.12"
"AveWindSp_ms_min_1daylag","0","-0.07","-0.04","0.01","-0.05","0.26","0.53","-0.09","-0.05","-0.05","-0.04","-0.11","0","-0.22","-0.24","-0.02","0.03","-0.29","-0.13","0.04","-0.05","0.06","0.07","-0.1","-0.06","-0.02","-0.06","-0.12"
"AveWindSp_ms_max_1daylag","0","-0.07","-0.06","0.02","-0.11","0.12","0.19","-0.27","-0.03","-0.16","-0.12","-0.04","0.06","-0.33","-0.33","0.01","-0.05","0.03","0.01","-0.12","0.04","0.31","0.3","0.03","-0.06","-0.08","-0.08","-0.12"
"AveWindSp_ms_sd_1daylag","-0.01","-0.04","-0.02","0.02","-0.12","-0.01","0.02","-0.28","-0.05","-0.09","-0.08","-0.04","0.01","-0.25","-0.28","-0.05","0.01","0.26","0.2","-0.04","-0.03","0.15","0.2","-0.05","-0.04","-0.16","-0.18","-0.11"
"AveWindSp_ms_mean_2daylag","0","0.07","0.06","-0.01","0.37","0.67","0.63","0.27","-0.05","0.04","-0.12","-0.1","0.06","0.33","0.26","0.04","-0.05","0.04","0.12","-0.11","-0.05","-0.06","-0.12","-0.1","-0.06","-0.08","-0.12","-0.13"
"AveWindDir_cove_mean_2daylag","0.12","0.36","0.37","0.12","-0.03","0.31","0.45","0.19","0.04","0.29","0.39","0.01","0.23","0.52","0.59","0.34","0.09","0.37","0.26","0.2","0.19","0.48","0.41","0.2","0.12","0.41","0.28","0.07"
"AveWindSp_ms_median_2daylag","0","0.09","0.09","-0.01","0.43","0.71","0.7","0.35","-0.06","0.01","-0.05","-0.1","0.07","0.35","0.27","0.07","-0.05","-0.06","0.04","-0.1","-0.05","0.05","0.03","-0.1","-0.06","-0.02","-0.04","-0.1"
"AveWindSp_ms_min_2daylag","-0.01","0.05","0.1","0.01","-0.06","0.27","0.47","-0.04","-0.03","0.14","-0.01","-0.09","0.02","0.27","0.32","0.01","-0.05","-0.03","-0.02","-0.11","-0.04","-0.1","0.14","0.03","-0.05","-0.1","-0.01","-0.12"
"AveWindSp_ms_max_2daylag","-0.01","0.04","0.01","-0.02","0.23","0.57","0.33","0.19","-0.05","0.07","-0.07","-0.11","-0.03","0.14","0.04","0.04","-0.04","0.12","0.09","-0.1","-0.02","-0.19","-0.27","-0.08","-0.05","-0.11","-0.14","-0.11"
"AveWindSp_ms_sd_2daylag","-0.01","-0.03","-0.05","-0.02","-0.01","0.34","0.4","0.69","-0.05","-0.07","-0.01","-0.11","-0.04","-0.13","-0.21","-0.1","-0.04","0.12","0.02","-0.09","-0.02","-0.18","-0.17","-0.06","-0.04","-0.13","-0.12","-0.1"
"AveWindSp_ms_mean_3daylag","0.03","0.19","0.17","0.02","-0.07","0.25","-0.07","0.26","-0.05","-0.06","-0.12","-0.11","0.62","0.8","0.79","0.61","-0.05","0.08","0.13","-0.11","-0.04","0.14","0","-0.07","-0.06","-0.09","0.04","-0.03"
